Date,Open,High,Low,Close,Adj Close,Volume
2002-12-01,2.384337,2.715495,2.268432,2.583032,1.458254,1076215
2003-01-01,2.583032,2.814843,2.400895,2.483685,1.402167,2509969
2003-02-01,2.467127,2.516801,2.334664,2.417453,1.364775,1184924
2003-03-01,2.417453,3.030096,2.417453,3.030096,1.710644,86351511
2003-04-01,3.030096,3.063211,2.814843,2.963864,1.673252,1130569
2003-05-01,2.963864,3.096327,2.897632,3.046653,1.719991,1745382
2003-06-01,3.046653,3.046653,2.831401,2.980422,1.682600,5808700
2003-07-01,2.947306,3.112885,2.765169,3.063211,1.729338,1356442
2003-08-01,3.030096,3.361254,2.963864,3.361254,1.897599,1204250
2003-09-01,3.394369,3.791759,3.311580,3.311580,1.869555,7339082
2003-10-01,3.477159,3.692412,3.344696,3.493717,1.972380,2747922
2003-11-01,3.559948,3.725527,3.444043,3.692412,2.084554,51668375
2003-12-01,3.692412,4.205707,3.642738,4.189149,2.364988,1518301
2004-01-01,4.189149,4.371286,3.841433,4.271938,2.411727,11772013
2004-02-01,4.271938,4.387844,4.122917,4.305054,2.430422,2106538
2004-03-01,4.321612,4.454075,4.056685,4.139475,2.336943,5350907
2004-04-01,4.222264,4.305054,4.040128,4.040128,2.280858,458989
2004-05-01,3.973896,3.973896,3.642738,3.907664,2.206076,1114867
2004-06-01,3.907664,4.222264,3.907664,4.222264,2.383683,1048436
2004-07-01,4.238822,4.338170,4.139475,4.139475,2.336943,415502
2004-08-01,4.139475,4.553423,4.106359,4.222264,2.383683,1065343
2004-09-01,4.238822,4.685886,4.222264,4.520307,2.551943,948179
2004-10-01,4.553423,4.868023,4.553423,4.851465,2.738900,6178309
2004-11-01,4.851465,4.967370,4.636212,4.934254,2.785638,785116
2004-12-01,4.917696,5.960844,4.917696,5.795265,3.271722,1666868
2005-01-01,5.795265,5.795265,5.530339,5.530339,3.122158,1956762
2005-02-01,5.464107,6.374792,5.464107,6.374792,3.598895,446910
2005-03-01,6.292002,7.037108,6.292002,6.987434,3.944761,2741885
2005-04-01,6.987434,6.987434,6.292002,6.374792,3.598895,374439
2005-05-01,6.374792,6.457581,5.960844,6.292002,3.552156,700564
2005-06-01,6.292002,6.374792,5.878055,5.960844,3.365199,24326746
2005-07-01,5.960844,6.209213,5.878055,6.126423,3.458676,724722
2005-08-01,6.126423,6.937760,6.126423,6.788739,3.832590,1860129
2005-09-01,6.871529,8.278950,6.871529,8.278950,4.673886,12417026
2005-10-01,8.113371,8.278950,7.119897,7.451055,4.206499,1425293
2005-11-01,7.451055,8.113371,7.451055,7.947792,4.486933,769411
2005-12-01,7.947792,8.278950,7.782213,7.782213,4.393456,41804803
2006-01-01,7.782213,9.603583,7.782213,9.438004,5.328234,1449448
2006-02-01,9.106846,10.431478,8.775688,9.769162,5.515190,1137816
2006-03-01,9.769162,9.934741,9.106846,9.272425,5.234756,1246525
2006-04-01,9.272425,9.769162,8.941267,9.438004,5.328234,2230951
2006-05-01,9.438004,10.597057,8.278950,8.775688,4.954325,1445826
2006-06-01,8.775688,9.272425,7.285476,8.941267,5.047798,1374560
2006-07-01,9.106846,9.438004,8.278950,9.272425,5.234756,1672906
2006-08-01,9.106846,9.438004,8.610109,9.106846,5.141279,838259
2006-09-01,9.106846,9.438004,8.610109,9.106846,5.141279,1100372
2006-10-01,9.272425,10.265899,8.941267,9.934741,5.608667,2472524
2006-11-01,9.934741,10.265899,9.603583,9.934741,5.608667,8115754
2006-12-01,9.934741,10.762636,9.934741,10.762636,6.076054,2717726
2007-01-01,10.762636,11.093794,10.265899,11.093794,6.263011,1204249
2007-02-01,11.093794,11.093794,9.934741,10.431478,5.889102,2955680
2007-03-01,9.934741,10.597057,9.438004,10.100320,5.703168,1505012
2007-04-01,10.265899,11.756110,9.934741,11.259373,6.357626,1699481
2007-05-01,11.259373,12.915163,11.259373,12.584005,7.105577,20381799
2007-06-01,12.749584,12.915163,12.418426,12.749584,7.199078,3876084
2007-07-01,12.749584,14.405374,12.749584,13.246321,7.479564,2189882
2007-08-01,13.080742,13.246321,11.259373,13.246321,7.479564,2503929
2007-09-01,13.246321,14.570953,12.418426,14.239795,8.040530,1207873
2007-10-01,14.471606,16.223433,14.074216,15.064379,8.506131,850640
2007-11-01,14.998147,14.998147,13.113858,14.570953,8.227520,791154
2007-12-01,14.637185,15.398848,14.074216,14.239795,8.047598,697242
2008-01-01,14.239795,14.438490,11.590531,11.590531,6.550370,413689
2008-02-01,11.593842,13.511247,10.865295,13.146974,7.431031,452342
2008-03-01,13.130416,13.908637,11.921689,12.186615,6.951905,548974
2008-04-01,12.219731,13.902014,12.219731,13.902014,7.931666,667346
2008-05-01,13.902014,14.902111,13.511247,14.471606,8.257984,1127850
2008-06-01,14.181843,14.450908,12.418426,12.521913,7.146445,7251876
2008-07-01,12.501215,13.651162,11.176583,13.223140,7.548720,854686
2008-08-01,13.250461,13.660269,11.093794,11.383557,6.501131,540396
2008-09-01,11.342162,12.997953,10.224504,12.997953,7.425904,576391
2008-10-01,11.797505,12.211452,6.676973,9.533212,5.448826,1372627
2008-11-01,11.106212,11.395976,7.451055,9.061311,5.181084,2651292
2008-12-01,8.328624,10.166551,8.328624,8.899872,5.088774,982240
2009-01-01,8.899872,9.893346,7.662169,8.225137,4.705556,1227198
2009-02-01,7.865003,8.688759,7.678727,7.865003,4.513264,1341465
2009-03-01,7.782213,9.433864,7.285476,8.916430,5.119707,9592268
2009-04-01,8.920569,10.224504,8.899872,10.178970,5.916603,2789956
2009-05-01,10.178970,10.886820,9.438004,10.704683,6.225641,1952168
2009-06-01,10.746078,11.015144,9.976135,10.472872,6.093800,1555019
2009-07-01,10.522546,11.296628,9.893346,11.197281,6.518338,3150629
2009-08-01,11.184862,12.418426,10.969610,12.021036,7.001190,4187342
2009-09-01,11.920861,13.341529,11.456412,13.045556,7.647198,3813383
2009-10-01,12.931721,13.387063,12.066571,12.289688,7.207387,3815579
2009-11-01,12.289688,13.728570,12.285135,13.623841,7.993161,4302687
2009-12-01,13.673929,14.320515,13.314208,13.751337,8.071545,4953846
2010-01-01,13.751337,14.161145,12.704050,13.250461,7.780671,4250418
2010-02-01,13.236800,13.664822,12.339776,13.159392,7.769127,4556782
2010-03-01,13.204926,13.769551,13.068324,13.742230,8.206125,5736773
2010-04-01,13.769551,14.161145,13.000022,13.523666,8.078965,3982165
2010-05-01,13.478132,13.505452,11.228741,12.517359,7.480776,8159953
2010-06-01,12.289688,12.772351,11.706850,11.747831,7.023718,5082350
2010-07-01,11.825239,13.887940,11.706850,13.796871,8.252387,15254228
2010-08-01,13.796871,13.842406,12.535573,13.341529,7.983751,6454451
2010-09-01,13.236800,14.047310,13.141178,14.047310,8.469351,13028261
2010-10-01,14.047310,14.980761,14.033649,14.457118,8.720007,6584268
2010-11-01,14.438904,15.117364,13.737677,14.115611,8.517333,10522183
2010-12-01,14.156592,14.315962,13.423491,14.115611,8.520553,11744561
2011-01-01,14.115611,14.525419,13.104751,13.204926,7.973929,19265935
2011-02-01,13.072877,14.315962,12.640302,13.755890,8.364645,12720575
2011-03-01,13.687589,14.252214,12.931721,14.252214,8.670034,10190189
2011-04-01,14.206679,14.794071,13.951688,14.343282,8.823123,10306085
2011-05-01,14.224893,14.379709,13.159392,13.801425,8.493060,13435040
2011-06-01,13.664822,14.202126,13.478132,14.024542,8.633652,10570278
2011-07-01,13.979008,14.133825,12.162192,12.517359,7.705820,10919965
2011-08-01,12.699496,12.726817,9.794412,11.602121,7.145166,14298903
2011-09-01,11.934521,12.344329,10.955535,11.611228,7.236877,9128289
2011-10-01,11.520160,13.391617,11.019283,12.977255,8.092087,6646856
2011-11-01,12.521913,13.204926,11.369897,12.521913,7.811827,10729500
2011-12-01,12.704050,13.250461,12.298795,12.298795,7.675867,7455258
2012-01-01,12.581107,14.252214,12.581107,13.883386,8.756798,12268344
2012-02-01,13.796871,14.630148,13.560093,14.434351,9.108363,9667004
2012-03-01,14.329622,15.121917,13.764997,13.796871,8.706100,8230940
2012-04-01,13.878833,14.083737,11.861667,12.289688,7.858260,13250021
2012-05-01,12.289688,12.289688,11.133119,11.802472,7.550462,8900546
2012-06-01,11.570247,12.230494,11.064817,11.570247,7.401899,6803663
2012-07-01,11.515606,13.437151,11.196867,12.949935,8.289335,6898975
2012-08-01,13.113858,13.569200,12.540127,12.881633,8.250478,6984406
2012-09-01,12.895294,13.815085,12.389864,12.398970,8.024955,10767274
2012-10-01,12.480932,12.776905,11.711404,12.102998,7.837544,12233643
2012-11-01,12.102998,13.400723,12.075677,13.241354,8.579446,7274958
2012-12-01,13.264121,14.771304,13.264121,14.188466,9.198298,6255064
2013-01-01,14.188466,15.868679,14.161145,15.249413,9.988225,17933313
2013-02-01,15.140131,15.868679,14.730323,15.504405,10.160131,5976155
2013-03-01,15.609134,16.683743,15.399676,16.519817,10.830383,8344481
2013-04-01,16.469730,16.538033,14.743983,15.527172,10.298706,11096475
2013-05-01,15.527172,16.473829,15.244860,15.827698,10.502383,5239886
2013-06-01,15.747558,16.278486,13.949411,14.625594,9.709002,8696944
2013-07-01,14.410217,14.991234,13.323315,14.395191,9.560592,5490564
2013-08-01,14.550463,15.096418,13.754069,14.069621,9.349166,4138734
2013-09-01,14.470323,15.752566,13.924367,15.091409,10.133876,5002820
2013-10-01,15.036313,16.403706,14.760831,16.348610,10.978091,5505140
2013-11-01,16.418732,16.418732,14.775857,15.326821,10.297086,4521865
2013-12-01,15.261707,15.587277,14.199849,14.740796,9.907926,2356061
2014-01-01,14.740796,14.765840,13.173052,13.804157,9.347927,9504727
2014-02-01,13.749060,15.081392,13.333333,14.565489,9.868510,5184703
2014-03-01,14.565489,15.992987,14.004507,15.982970,11.037355,4104995
2014-04-01,16.083145,17.460554,15.692461,17.205109,11.887461,2978568
2014-05-01,17.205109,17.811169,16.033056,16.188330,11.190198,5961940
2014-06-01,16.143250,17.393938,15.887803,16.683195,11.537316,4959862
2014-07-01,16.688705,18.826447,16.280991,18.292011,12.655764,4495748
2014-08-01,18.275482,20.661158,18.104683,20.495867,14.187586,5331194
2014-09-01,20.815426,21.344353,16.969696,17.305784,12.104233,29642213
2014-10-01,16.953169,19.493113,14.931129,18.005508,12.598732,9198595
2014-11-01,17.658401,19.779613,16.853994,18.842976,13.191013,5896385
