Date,Open,High,Low,Close,Adj Close,Volume
2014-04-29,41.980000,41.980000,41.980000,41.980000,41.980000,0
2014-04-30,42.430000,42.430000,42.430000,42.430000,42.430000,0
2014-05-02,42.099998,42.099998,42.099998,42.099998,42.099998,0
2014-05-05,42.299999,42.299999,42.299999,42.299999,42.299999,0
2014-05-06,42.000000,42.000000,42.000000,42.000000,42.000000,0
2014-05-07,42.160000,42.160000,42.160000,42.160000,42.160000,0
2014-05-08,41.799999,41.799999,41.799999,41.799999,41.799999,0
2014-05-09,42.029999,42.029999,42.029999,42.029999,42.029999,0
2014-05-12,42.349998,42.349998,42.349998,42.349998,42.349998,0
2014-05-13,42.290001,42.290001,42.290001,42.290001,42.290001,0
2014-05-14,42.110001,42.110001,42.110001,42.110001,42.110001,500
2014-05-15,41.849998,41.930000,41.849998,41.930000,41.930000,26400
2014-05-16,41.799999,41.830002,41.740002,41.830002,41.830002,19270
2014-05-19,42.009998,42.020000,42.009998,42.020000,42.020000,4650
2014-05-20,42.000000,42.009998,41.820000,41.889999,41.889999,9310
2014-05-21,42.070000,42.090000,42.070000,42.090000,42.090000,17480
2014-05-22,42.419998,42.419998,42.419998,42.419998,42.419998,26000
2014-05-23,42.509998,42.650002,42.450001,42.650002,42.650002,13920
2014-05-26,42.580002,42.580002,42.580002,42.580002,42.580002,0
2014-05-27,43.029999,43.220001,43.029999,43.189999,43.189999,6790
2014-05-28,43.230000,43.230000,43.230000,43.230000,43.230000,4230
2014-05-29,42.980000,43.110001,42.900002,43.110001,43.110001,21890
2014-05-30,43.820000,43.830002,43.720001,43.770000,43.770000,132800
2014-06-02,44.189999,44.189999,44.189999,44.189999,44.189999,2680
2014-06-03,44.000000,44.279999,44.000000,44.279999,44.279999,5960
2014-06-04,44.520000,44.520000,44.369999,44.380001,44.380001,10920
2014-06-05,44.240002,44.490002,44.240002,44.299999,44.299999,42120
2014-06-06,44.200001,44.240002,44.070000,44.200001,44.200001,3610
2014-06-09,43.950001,43.959999,43.860001,43.939999,43.939999,43370
2014-06-10,43.860001,43.860001,43.860001,43.860001,43.860001,600
2014-06-11,43.820000,43.860001,43.779999,43.840000,43.840000,146660
2014-06-13,43.520000,43.619999,43.520000,43.599998,43.599998,6550
2014-06-16,43.650002,43.650002,43.650002,43.650002,43.650002,0
2014-06-17,44.130001,44.130001,44.130001,44.130001,44.130001,20
2014-06-18,44.119999,44.130001,44.029999,44.029999,44.029999,51740
2014-06-20,44.340000,44.340000,44.340000,44.340000,44.340000,0
2014-06-23,43.959999,43.959999,43.959999,43.959999,43.959999,120
2014-06-24,44.099998,44.099998,43.910000,43.930000,43.930000,4590
2014-06-25,43.529999,43.639999,43.529999,43.639999,43.639999,27730
2014-06-26,43.639999,43.639999,43.400002,43.400002,43.400002,37450
2014-06-27,43.450001,43.470001,43.419998,43.419998,43.419998,9400
2014-06-30,43.759998,43.759998,43.700001,43.700001,43.700001,12890
2014-07-01,43.830002,43.900002,43.820000,43.900002,43.900002,11350
2014-07-02,44.150002,44.330002,44.139999,44.330002,44.330002,10520
2014-07-03,44.580002,44.580002,44.369999,44.369999,44.369999,1200
2014-07-04,44.344940,44.344940,44.344940,44.344940,44.344940,0
2014-07-07,44.310001,44.400002,44.299999,44.400002,44.400002,10000
2014-07-08,43.910000,43.910000,43.910000,43.910000,43.910000,0
2014-07-10,44.029999,44.029999,44.029999,44.029999,44.029999,70
2014-07-11,44.139999,44.139999,44.139999,44.139999,44.139999,0
2014-07-14,44.259998,44.259998,44.150002,44.150002,44.150002,13710
2014-07-15,45.130001,45.130001,44.299999,44.299999,44.299999,220
2014-07-16,44.500000,44.560001,44.470001,44.470001,44.470001,3640
2014-07-17,44.650002,44.650002,44.650002,44.650002,44.650002,160
2014-07-18,44.560001,44.560001,44.459999,44.509998,44.509998,410
2014-07-21,44.310001,44.310001,44.310001,44.310001,44.310001,0
2014-07-22,44.330002,44.349998,44.299999,44.299999,44.299999,5000
2014-07-23,44.599998,44.599998,44.580002,44.580002,44.580002,30
